,asset,ret,bin
2022-02-02,PETR4_SA,0.01506749763413584,1.0
2022-02-03,PETR4_SA,0.01964475053533543,1.0
2022-02-04,PETR4_SA,-0.007355280637534212,-1.0
2022-02-07,PETR4_SA,0.006531839742802248,1.0
2022-02-08,PETR4_SA,0.0694314421161415,1.0
2022-02-10,PETR4_SA,0.04654775726571647,1.0
2022-02-11,PETR4_SA,0.002665918512230192,1.0
2022-02-14,PETR4_SA,0.047575952356994966,1.0
2022-02-15,PETR4_SA,0.053240583437929256,1.0
2022-02-16,PETR4_SA,0.02057560194458774,1.0
2022-02-17,PETR4_SA,0.055639239003066,1.0
2022-02-18,PETR4_SA,0.054214337687653824,1.0
2022-02-21,PETR4_SA,-0.012333269115543444,-1.0
2022-02-23,PETR4_SA,-0.03899721131280098,-1.0
2022-02-24,PETR4_SA,-0.015108534055657263,-1.0
2022-02-25,PETR4_SA,-0.026343305996491262,-1.0
2022-03-02,PETR4_SA,-0.044528530064703586,-1.0
2022-03-03,PETR4_SA,-0.04211461048285481,-1.0
2022-03-07,PETR4_SA,0.10328460569685949,1.0
2022-03-08,PETR4_SA,0.07882941109134656,1.0
2022-03-10,PETR4_SA,0.04400286855293123,1.0
2022-03-11,PETR4_SA,0.09231212853742354,1.0
2022-03-14,PETR4_SA,0.152351481062863,1.0
2022-03-15,PETR4_SA,0.19002848561744368,1.0
2022-03-16,PETR4_SA,0.20045045899041058,1.0
2022-03-17,PETR4_SA,0.2051818339487057,1.0
2022-03-18,PETR4_SA,0.19978608172758228,1.0
2022-03-21,PETR4_SA,0.1921665848438423,1.0
2022-03-22,PETR4_SA,0.19744471586158285,1.0
2022-03-23,PETR4_SA,0.188888815554769,1.0
2022-03-24,PETR4_SA,0.22155044990277695,1.0
2022-03-28,PETR4_SA,0.18643168636848917,1.0
2022-03-29,PETR4_SA,0.2260885083468127,1.0
2022-03-30,PETR4_SA,0.20044438617388005,1.0
2022-03-31,PETR4_SA,0.09302018484566421,1.0
2022-04-01,PETR4_SA,0.19971723292314003,1.0
2022-04-04,PETR4_SA,0.21109030856877498,1.0
2022-04-05,PETR4_SA,0.22268160212285015,1.0
2022-04-07,PETR4_SA,0.08517798401194154,1.0
2022-04-08,PETR4_SA,0.09261481437065022,1.0
2022-04-11,PETR4_SA,0.09559580605113971,1.0
2022-04-13,PETR4_SA,0.045618168912752166,1.0
2022-04-14,PETR4_SA,0.04310285139035974,1.0
2022-04-18,PETR4_SA,0.17838565832777808,1.0
2022-04-19,PETR4_SA,0.02388922529910964,1.0
2022-04-20,PETR4_SA,-0.0429672270816267,-1.0
2022-04-22,PETR4_SA,0.18455495017584878,1.0
2022-04-25,PETR4_SA,0.20225851253613358,1.0
2022-04-28,PETR4_SA,0.19629888680909846,1.0
2022-05-02,PETR4_SA,0.20747186957384045,1.0
2022-05-03,PETR4_SA,0.19669430273449784,1.0
2022-05-04,PETR4_SA,-0.029480403212786888,-1.0
2022-05-06,PETR4_SA,-0.01775706249602227,-1.0
2022-05-09,PETR4_SA,-0.02873116974339973,-1.0
2022-05-10,PETR4_SA,-0.04948158075284437,-1.0
2022-05-11,PETR4_SA,-0.05458854853606765,-1.0
2022-05-12,PETR4_SA,-0.051313481083598234,-1.0
2022-05-13,PETR4_SA,-0.06804609036707054,-1.0
2022-05-16,PETR4_SA,-0.09104690187130404,-1.0
2022-05-17,PETR4_SA,-0.07842045637440331,-1.0
2022-05-18,PETR4_SA,-0.08826689144269073,-1.0
2022-05-19,PETR4_SA,-0.08814794794302894,-1.0
2022-05-20,PETR4_SA,-0.08495036701005865,-1.0
2022-05-23,PETR4_SA,-0.18453440021950185,-1.0
2022-05-24,PETR4_SA,-0.07689877368518094,-1.0
2022-05-25,PETR4_SA,-0.17971906610290223,-1.0
2022-05-27,PETR4_SA,0.0032679670292037333,1.0
2022-05-30,PETR4_SA,0.034011485279513476,1.0
2022-06-02,PETR4_SA,0.14751336860448294,1.0
2022-06-03,PETR4_SA,0.1122854166363505,1.0
2022-06-07,PETR4_SA,0.10404392149620811,1.0
2022-06-08,PETR4_SA,0.12127136802902494,1.0
2022-06-09,PETR4_SA,0.1596276846699256,1.0
2022-06-10,PETR4_SA,0.17605415437458705,1.0
2022-06-13,PETR4_SA,0.1667235023688476,1.0
2022-06-14,PETR4_SA,0.17804068315289934,1.0
2022-06-15,PETR4_SA,0.1743467933491687,1.0
2022-06-17,PETR4_SA,0.182350925984599,1.0
2022-06-20,PETR4_SA,0.1690806473210964,1.0
